"Btilde_forecast","Btilde_age0_forecast","Btilde_age1_forecast","Btilde_age2_forecast","Btilde_age3_forecast","Btilde_age4_forecast","Btilde_age5_forecast","Btilde_age6_forecast","Btilde_age7_forecast","Btilde_age8_forecast","Btilde_age9_forecast","logmdm_c","mdm_forecast","N_a_forecast_age0","N_a_forecast_age1","N_a_forecast_age2","N_a_forecast_age3","N_a_forecast_age4","N_a_forecast_age5","N_a_forecast_age6","N_a_forecast_age7","N_a_forecast_age8","N_a_forecast_age9","mat_age3","mat_age4","survival_forecast_age0","survival_forecast_age1","survival_forecast_age2","survival_forecast_age3","survival_forecast_age4","survival_forecast_age5","survival_forecast_age6","survival_forecast_age7","survival_forecast_age8","survival_forecast_age9","mean_log_rec","Ntilde_agecomp_forecast_age0","Ntilde_agecomp_forecast_age1","Ntilde_agecomp_forecast_age2","Ntilde_agecomp_forecast_age3","Ntilde_agecomp_forecast_age4","Ntilde_agecomp_forecast_age5","Ntilde_agecomp_forecast_age6","Ntilde_agecomp_forecast_age7","Ntilde_agecomp_forecast_age8","Ntilde_agecomp_forecast_age9","Btilde_agecomp_forecast_age0","Btilde_agecomp_forecast_age1","Btilde_agecomp_forecast_age2","Btilde_agecomp_forecast_age3","Btilde_agecomp_forecast_age4","Btilde_agecomp_forecast_age5","Btilde_agecomp_forecast_age6","Btilde_agecomp_forecast_age7","Btilde_agecomp_forecast_age8","Btilde_agecomp_forecast_age9"
31151.9873212478,0,0,0,1617.85380601671,2190.77090296006,13541.376622072,4091.08900496715,1425.45882363051,1608.31338242983,6677.12477917154,5.9630581477654,46.5926570587883,0,0,0,44.1598115550515,26.9185297075413,132.197759226839,34.5917823918086,10.9317711155248,11.1533931603898,43.7305458813501,0.577524324151234,0.948835790479646,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.659359271794269,3.78781513463753,0,0,0,0.0857054451533742,0.0904611819750952,0.468213529309416,0.122515998860318,0.0387177752901235,0.0395027087141535,0.15488336069752,0,0,0,0.0519342085412709,0.0703252373714792,0.434687407979132,0.131326742104082,0.0457581986321061,0.0516279544494053,0.214340250922524
31155.9420661407,0,0,0,2010.57973875369,2483.73305706769,7199.02542219086,8507.19711846455,1541.37078801256,1665.96042707523,7748.07551457613,6.13636241484164,39.183887523648,0,0,0,51.9297933806556,32.9793226209468,70.28052287383,71.9317304338407,11.8206940666264,11.5531660905219,50.744531963708,0.659546419410048,0.878028504782602,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.64165859785468,3.9498926790433,0,0,0,0.109211838742727,0.105159736395631,0.255231413813083,0.261227954857562,0.0429281447477733,0.0419565876109792,0.184284323832245,0,0,0,0.0645327858963611,0.0797194015765916,0.231064283240356,0.273052154879627,0.049472771028409,0.0534716755968598,0.248686927781795
31163.6782178103,0,0,0,1588.64732015105,7762.61129195183,6964.52663693814,4668.56641596834,1361.57062516761,1553.71188717318,7264.04404046012,5.90768597477366,49.2638399915586,0,0,0,42.186688490816,95.5594285134537,67.9912272713949,39.4745832581023,10.4418157755306,10.7747406226471,47.5744608197816,0.594732413668907,0.94706486436519,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.688218886213049,3.74210473267449,0,0,0,0.0817902498064801,0.311514332957647,0.234033294057133,0.135875864022137,0.0359418801506659,0.0370878441488319,0.163756534857105,0,0,0,0.0509775293226821,0.249091626402285,0.223482176534536,0.149807939336898,0.0436909473795511,0.0498564988482399,0.233093282175808
31163.7837470324,0,0,0,1920.71977038775,1895.72358625715,9417.85019066501,4247.20737034702,2169.29615495114,1974.37742245757,9538.60925196673,6.07706957101871,41.5879363338251,0,0,0,52.2494199478391,23.1038305396276,91.9418111383616,35.9118251765117,16.6362217235542,13.6919880666522,62.4712886658316,0.574771673176785,0.956613382249818,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.671922569873606,3.95602878930653,0,0,0,0.105820667814428,0.0814099819755284,0.338664964690599,0.132280154750006,0.0612790347811812,0.050434036459851,0.230111159528406,0,0,0,0.0616330733770623,0.0608309825804665,0.302204965453267,0.136286639800325,0.0696095240732028,0.063354868538567,0.306079946177109
31164.1942403445,0,0,0,1796.88652727126,3080.83315927202,9449.94830330872,5940.98703479046,1453.44676172627,2149.62477053586,7292.46768343988,6.09708168733746,40.7644830558927,0,0,0,43.238189392504,36.6945978691053,92.2551691288625,50.2334049566046,11.1464091872714,14.9073000790909,47.7606160085117,0.635025188170071,0.978839476851022,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.614165864544149,3.76672411845544,0,0,0,0.0962973237818295,0.128693881309658,0.330548354469954,0.179985246405382,0.0399373525612957,0.0534125464975347,0.171125294974347,0,0,0,0.0576586871912463,0.0988581041278341,0.303230952497242,0.190635027781318,0.046638355239253,0.0689773896914365,0.23400148347167
31172.4134064756,0,0,0,1469.49106225497,3619.61787573001,8276.57519742256,7446.52795898149,1278.44281409603,2031.30000887581,7050.45848911472,5.8594944277474,51.7105669954572,0,0,0,44.4363391070593,45.5873892942396,80.8001081210807,62.9633514252214,9.80431282637166,14.086736996161,46.1756232869203,0.534336104717931,0.925685437439619,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.603134438752112,3.79405758304915,0,0,0,0.0790600633211817,0.151792071226196,0.290638320791397,0.226479433693364,0.0352661535068761,0.0506700508353172,0.166093906625668,0,0,0,0.0471407536879936,0.116116061612929,0.265509605865269,0.238881983947851,0.0410119934387389,0.065163386048699,0.226176215398519
31173.5200945337,0,0,0,1717.23859275157,3358.56283888885,10636.5942382329,4574.42687636311,1327.52288496403,1934.07707265074,7625.09759068246,5.96764698194219,46.4113990663538,0,0,0,49.295318478287,40.3154677218339,103.839806198695,38.6785960614084,10.1807053900629,13.4125116593753,49.9391116786175,0.536471967901281,0.971241441088826,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.67454895509126,3.8978291166672,0,0,0,0.0914409748433704,0.139399058137687,0.369679017264787,0.137699268754441,0.0362442236887389,0.047749743675395,0.177787713635581,0,0,0,0.0550864511785658,0.107737683415412,0.341206068675512,0.146740787132514,0.0425849529003563,0.0620423059951412,0.244601750702499
31173.7905095739,0,0,0,1664.68341341662,4461.9289587908,11042.2186876552,4359.67067713544,973.190090817658,1692.70233396304,6979.39634779522,5.94106217952155,47.6621973585815,0,0,0,47.986197762587,58.6080353308083,107.799716981609,36.8627471023767,7.46334523898746,11.738616889251,45.7102154453456,0.584593080879311,0.887586968132743,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.642720796176434,3.87091342294567,0,0,0,0.0869093369015094,0.181573969957206,0.376273063688689,0.128668786677418,0.0260506785831294,0.0409734409705343,0.159550723221514,0,0,0,0.053400096241276,0.143130780243759,0.35421482300216,0.139850515637376,0.0312182148821067,0.0542988935991977,0.223886676394125
31181.6484542949,0,0,0,1644.15252903479,938.698540645832,13552.2241538155,5608.22596251392,1744.87689065324,1515.08810054912,6178.3822770825,6.11607603190642,40.0198971941894,0,0,0,43.9365478596973,12.5810165280511,132.303658311522,47.4197779280362,13.3813720026009,10.5068909098564,40.4641276861086,0.643442303274353,0.869872975472295,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.637655829919288,3.78274649900202,0,0,0,0.0879500796103306,0.0391396041109471,0.473169464250703,0.169591613742567,0.047857003367976,0.0375767382867931,0.144715496630683,0,0,0,0.0527282106795843,0.030104198693079,0.434621799218855,0.179856622100473,0.0559584556028468,0.0485890956910083,0.198141618014153
31194.3604028412,0,0,0,1612.14743880929,2254.84972143474,13344.5974094104,4887.56066221307,1200.92939200898,1519.95311369351,6374.32266527116,5.69897349352457,60.7572787364433,0,0,0,40.3686542819781,27.8800677403372,130.276701146681,41.3262665878852,9.20986634037735,10.5406289890907,41.7474016129973,0.633491152118143,0.942907753933786,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.687527044157698,3.69805359970379,0,0,0,0.0850545140053658,0.0927270335429372,0.459525998566109,0.145770454376376,0.0324860315733448,0.0371800407831417,0.147255927152725,0,0,0,0.0516807338887595,0.0722838901748845,0.427788780955259,0.156680906391269,0.0384982854753322,0.0487252533491624,0.204342149765333
