# Seine Fishery Age Composition (proportion of each age): Median Posterior Prediction
"# Year","3","4","5","6","7","8","9+"
"1991",0.396,0.021,0.01,0.062,0.427,0.031,0.052
"1992",0,0.562,0,0,0.031,0.312,0.031
"1993",0.097,0.032,0.581,0.016,0,0.016,0.242
"1994",0.035,0.211,0.053,0.544,0,0,0.14
"1995",0.213,0.049,0.148,0.033,0.459,0,0.066
"1996",0.121,0.276,0.034,0.121,0.034,0.362,0.034
"1997",0.259,0.16,0.21,0.025,0.074,0.012,0.247
"1998",0.229,0.356,0.119,0.136,0.017,0.051,0.093
"1999",0.024,0.378,0.329,0.085,0.098,0.012,0.073
"2000",0.157,0.039,0.333,0.255,0.059,0.078,0.039
"2001",0.065,0.239,0.043,0.283,0.217,0.043,0.087
"2002",0.657,0.029,0.086,0.014,0.086,0.071,0.029
"2003",0.105,0.702,0.018,0.053,0,0.053,0.053
"2004",0.057,0.171,0.657,0,0.029,0,0.057
"2005",0.097,0.097,0.161,0.548,0,0.032,0.032
"2006",0.08,0.16,0.08,0.12,0.44,0,0.04
"2007",0.382,0.091,0.109,0.055,0.073,0.255,0.018
"2008",0.263,0.434,0.066,0.053,0.026,0.026,0.118
"2009",0.115,0.365,0.365,0.038,0.038,0.019,0.058
"2010",0.138,0.172,0.345,0.241,0.034,0,0.034
"2011",0.032,0.258,0.161,0.258,0.194,0.032,0.032
"2012",0.157,0.071,0.243,0.114,0.2,0.157,0.029
"2013",0.05,0.3,0.05,0.2,0.1,0.15,0.1
"2014",0.054,0.108,0.324,0.054,0.162,0.081,0.189
"2015",0.167,0.056,0.111,0.278,0.056,0.111,0.167
"2016",0.2,0.24,0.08,0.08,0.2,0.04,0.16
"2017",0.357,0.238,0.167,0.024,0.048,0.071,0.048
"2018",0.156,0.438,0.188,0.094,0,0.031,0.062
"2019",0.68,0.08,0.12,0.04,0,0,0
"2020",0.105,0.737,0.053,0.053,0,0,0
"2021",0.095,0.167,0.619,0.024,0.048,0,0
"2022",0.25,0.1,0.125,0.425,0.025,0.025,0
"2023",0.318,0.273,0.045,0.045,0.273,0,0
"2024",0.097,0.355,0.194,0.032,0.032,0.194,0

# Spawner Survey Age Composition (proportion of each age): Lower 95% Posterior Predictive Interval
"# Year","3","4","5","6","7","8","9+"
"1980",NA,NA,NA,NA,NA,NA,NA
"1981",NA,NA,NA,NA,NA,NA,NA
"1982",0,0,0,0.111,0,0,0
"1983",0.167,0,0,0,0,0,0
"1984",0.053,0.158,0,0,0,0,0
"1985",0,0.154,0.154,0,0,0,0
"1986",0.05,0.05,0.212,0.175,0.013,0,0.025
"1987",0.442,0.019,0,0.038,0.038,0,0
"1988",0.011,0.579,0.011,0,0.032,0.021,0
"1989",0,0.018,0.536,0,0,0.018,0.018
"1990",0,0,0.019,0.538,0,0,0.038
"1991",0.292,0,0,0.01,0.323,0,0.01
"1992",0,0.375,0,0,0,0.156,0
"1993",0.016,0,0.435,0,0,0,0.129
"1994",0,0.088,0,0.404,0,0,0.053
"1995",0.098,0,0.066,0,0.328,0,0.016
"1996",0.052,0.172,0,0.034,0,0.224,0
"1997",0.16,0.074,0.111,0,0.025,0,0.148
"1998",0.144,0.254,0.059,0.076,0,0.008,0.042
"1999",0,0.256,0.22,0.024,0.037,0,0.024
"2000",0.059,0,0.216,0.137,0,0.02,0
"2001",0,0.109,0,0.152,0.109,0,0.022
"2002",0.529,0,0.029,0,0.029,0.014,0
"2003",0.035,0.561,0,0,0,0,0
"2004",0,0.057,0.457,0,0,0,0
"2005",0,0,0.032,0.355,0,0,0
"2006",0,0.04,0,0,0.24,0,0
"2007",0.236,0.018,0.036,0,0.018,0.145,0
"2008",0.158,0.303,0.013,0.013,0,0,0.053
"2009",0.019,0.231,0.231,0,0,0,0
"2010",0.034,0.034,0.172,0.103,0,0,0
"2011",0,0.097,0.032,0.129,0.065,0,0
"2012",0.071,0.014,0.129,0.043,0.114,0.071,0
"2013",0,0.1,0,0.05,0,0,0
"2014",0,0.027,0.162,0,0.054,0,0.081
"2015",0,0,0,0.056,0,0,0
"2016",0.04,0.08,0,0,0.04,0,0.04
"2017",0.19,0.095,0.048,0,0,0,0
"2018",0.031,0.25,0.031,0,0,0,0
"2019",0.48,0,0,0,0,0,0
"2020",0,0.474,0,0,0,0,0
"2021",0.024,0.048,0.452,0,0,0,0
"2022",0.1,0.025,0.025,0.275,0,0,0
"2023",0.091,0.091,0,0,0.091,0,0
"2024",0,0.161,0.065,0,0,0.065,0

