# Numbers-at-age (millions): Median estimate
"# Year","0","1","2","3","4","5","6","7","8","9+"
2008,53.935,137.824,89.67,160.975,153.727,27.053,19.884,10.699,13.419,42.212
2009,131.901,42.005,107.337,69.835,125.368,119.723,16.925,12.667,6.847,21.769
2010,48.079,102.725,32.713,83.594,54.35,97.234,71.281,10.341,7.851,10.985
2011,27.244,37.444,80.002,25.477,65.103,42.328,63.3,47.175,6.911,8.832
2012,59.229,21.218,29.162,62.306,19.842,50.703,27.04,40.911,30.856,7.256
2013,66.625,46.127,16.524,22.711,48.524,15.453,29.636,15.734,24.644,20.528
2014,130.067,51.888,35.924,12.869,17.687,37.79,10.234,20.011,10.643,23.43
2015,73.308,101.296,40.41,27.978,10.022,13.775,21.359,5.869,11.864,13.022
2016,733.83,57.092,78.889,31.471,21.789,7.805,9.693,15.132,4.154,12.905
2017,179.303,571.508,44.463,61.439,24.51,16.969,4.075,5.103,8.324,5.782
2018,159.033,139.642,445.09,34.628,47.849,19.088,10.826,2.619,3.32,7.241
2019,309.735,123.856,108.753,346.636,26.968,37.265,12.764,7.261,1.764,4.59
2020,3984.306,241.222,96.459,84.697,269.961,21.003,23.165,8.097,4.632,2.533
2021,3208.729,3102.976,187.864,75.122,65.962,210.246,13.048,14.738,5.178,3.657
2022,492.749,2498.961,2416.607,146.308,58.505,51.371,163.74,10.162,11.478,5.253
