accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lp__
0.501854,0.15383,4,15,0,214.505,-174.779
0.999493,0.170961,5,31,0,207.629,-168.988
0.989393,0.187952,5,31,0,200.751,-164.077
0.899856,0.188173,5,31,0,203.325,-172.924
1,0.20909,4,15,0,202.339,-168.464
0.983889,0.228409,4,15,0,198.09,-162.526
0.956055,0.242349,4,15,0,197.421,-166.38
0.470725,0.155452,4,15,0,202.338,-166.38
0.986215,0.17023,5,31,0,197.118,-166.475
0.911774,0.172563,5,31,0,200.668,-168.521
0.987077,0.189064,5,31,0,199.572,-167.509
0.992297,0.208209,5,31,0,199.947,-166.086
0.97565,0.225339,4,15,0,200.086,-165.144
0.950048,0.237491,4,15,0,198.263,-167.255
1,0.263437,4,15,0,190.573,-163.547
0.98054,0.286365,4,15,0,194.856,-165.921
0.692143,0.231613,4,15,0,198.409,-173.182
0.947382,0.243362,4,15,0,214.142,-177.869
0.99021,0.267109,4,15,0,212.107,-173.648
0.893549,0.265572,4,15,0,211.191,-171.428
0.933237,0.274946,4,15,0,204.952,-171.489
0.985322,0.300121,4,15,0,198.908,-172.097
0.997685,0.331668,4,15,0,204.029,-167.409
0.928897,0.341722,4,15,0,196.78,-159.001
1,0.378369,4,15,0,179.058,-156.637
8.30031e-07,0.15216,4,15,0,191.62,-162.258
0.977485,0.164812,5,31,0,191.18,-164.008
0.934219,0.170849,5,31,0,203.637,-169.083
0.920453,0.174648,5,31,0,209.367,-171.362
0.88735,0.172666,5,31,0,209.518,-172.603
0.94434,0.180786,5,31,0,207.452,-172.648
1,0.200153,5,31,0,203.231,-177.426
1,0.221538,4,15,0,209.086,-166.384
0.103531,0.0998097,4,15,0,198.393,-166.384
0.99347,0.109821,6,63,0,207.044,-163.031
0.999265,0.121509,5,31,0,191.593,-160.053
0.999128,0.134389,5,31,0,185.894,-161.136
0.966502,0.14384,5,31,0,200.143,-160.496
0.983718,0.156591,5,31,0,196.177,-162.375
0.987685,0.17111,5,31,0,199.007,-169.699
0.983934,0.186239,5,31,0,201.687,-158.497
0.945127,0.195006,4,15,0,191.132,-167.329
0.971844,0.209642,4,15,0,207.57,-170.648
0.995084,0.230581,4,15,0,201.043,-164.974
0.978347,0.249389,4,15,0,196.737,-166.485
0.95838,0.264415,4,15,0,201.989,-164.509
0.955591,0.279536,4,15,0,195.976,-167.72
0.666133,0.222165,4,15,0,214.116,-177.535
0.997319,0.244733,4,15,0,217.92,-174.257
1,0.270241,4,15,0,202.384,-164.049
0.997884,0.297717,4,15,0,193.883,-163.763
0.906165,0.299708,4,15,0,188.839,-159.008
0.456781,0.194292,4,15,0,196.936,-159.008
0.857471,0.186586,4,15,0,197.253,-164.552
0.988365,0.203649,5,31,0,195.407,-163.081
0.993589,0.223361,5,31,0,187.272,-154.646
0.987016,0.243364,4,15,0,179.592,-153.148
0.817011,0.224667,4,15,0,182.276,-157.807
0.951834,0.236504,4,15,0,187.553,-165.737
1,0.260856,4,15,0,203.177,-177.386
0.445443,0.167967,4,15,0,223.424,-180.521
1,0.185294,5,31,0,213.508,-173.401
0.968767,0.198275,5,31,0,198.343,-168.217
0.996657,0.21793,4,15,0,196.311,-155.988
0.892965,0.216663,4,15,0,177.056,-155.063
0.798983,0.196741,4,15,0,190.221,-158.657
0.902522,0.197433,5,31,0,194.49,-162.165
0.95213,0.207812,4,15,0,203.113,-172.894
0.976313,0.223853,4,15,0,209.869,-175.309
0.912573,0.226781,4,15,0,204.654,-174.105
1,0.24983,4,15,0,199.587,-162.642
8.82884e-37,0.105588,4,15,0,189.006,-162.642
